country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Cyprus,CY,0.918,FALSE,,,,,,,,,
Malta,MT,0.608,FALSE,,,,,,,,,
Portugal,PT,0.386,FALSE,,,,,,,,,
Greece,EL,0.336,FALSE,,,,,,,,,
Spain,ES,0.333,FALSE,,,,,,,,,
Romania,RO,0.325,FALSE,,,,,,,,,
Italy,IT,0.309,FALSE,,,,,,,,,
Denmark,DK,0.186,FALSE,,,,,,,,,
France,FR,0.119,FALSE,,,,,,,,,
Belgium,BE,0.103,FALSE,,,,,,,,,
Poland,PL,0.087,FALSE,,,,,,,,,
Netherlands,NL,0.060,FALSE,,,,,,,,,
Germany,DE,0.045,FALSE,,,,,,,,,
Czechia,CZ,0.039,FALSE,,,,,,,,,
Estonia,EE,0.039,FALSE,,,,,,,,,
Austria,AT,0.028,FALSE,,,,,,,,,
Hungary,HU,0.023,FALSE,,,,,,,,,
Bulgaria,BG,0.023,FALSE,,,,,,,,,
Luxembourg,LU,0.021,FALSE,,,,,,,,,
Ireland,IE,0.021,FALSE,,,,,,,,,
Slovenia,SI,0.010,FALSE,,,,,,,,,
Lithuania,LT,0.008,FALSE,,,,,,,,,
Finland,FI,0.008,FALSE,,,,,,,,,
Slovakia,SK,0.007,FALSE,,,,,,,,,
Latvia,LV,0.006,FALSE,,,,,,,,,
Sweden,SE,0.004,FALSE,,,,,,,,,
